排名,code,name,roe,gross_margin,debt_ratio,cash_quality,g_profit_annual,g_revenue_annual,g_profit_q1,report_period,price,price_date,pe_ttm,pe_percentile,pb,pb_percentile,dividend_yield,g_forward,industry,eps_forecast,peg_base,peg_adjusted,peg_forward,lynch_category,accelerating,margin_up,cash_healthy,debt_warn,notes,quality_score,peg_rank_value
1,002772,众兴菌业,9.87,39.348857,52.908157,0.949,161.630071,8.429801,237.548664,20260331,10.24,2026-07-31,8.54,0.6,1.06,37.1,4.39,11.63,种植业,"{2026: 0.98, 2027: 1.06, 2028: 1.22}",0.053,0.051,0.734,快速增长,True,True,True,False,增速加速; 毛利率上升,65.6,0.053
2,002299,圣农发展,12.59,13.665879,53.495503,0.202,90.545359,8.11875,71.407853,20260331,16.72,2026-07-31,13.99,20.9,1.81,11.2,4.19,24.44,养殖业,"{2026: 1.03, 2027: 1.21, 2028: 1.59}",0.155,0.148,0.572,快速增长,False,True,False,False,增速放缓; 毛利率上升; 现金流质量偏弱,39.8,0.155
3,600887,伊利股份,20.87,38.374706,59.498365,0.692,36.819567,0.130896,10.67985,20260331,27.1,2026-07-31,14.18,5.6,2.88,5.2,9.59,7.95,饮料乳品,"{2026: 1.94, 2027: 2.06, 2028: 2.26}",0.385,0.306,1.784,快速增长,False,True,False,False,增速放缓; 毛利率上升; 现金流质量偏弱,62.1,0.385
4,600873,梅花生物,21.48,9.528723,36.780702,-9.799,19.721476,-3.432938,-88.42444,20260331,8.13,2026-07-31,9.58,28.2,1.39,1.8,5.27,4.27,化学制品,"{2026: 1.22, 2027: 1.36, 2028: 1.32}",0.486,0.383,2.244,稳定增长,False,False,False,False,增速放缓; 现金流质量偏弱,29.6,0.486
5,300119,瑞普生物,8.76,39.729878,32.434892,0.105,33.183845,10.701384,-7.075451,20260331,17.02,2026-07-31,20.16,14.5,1.64,11.6,4.11,16.95,动物保健Ⅱ,"{2026: 1.17, 2027: 1.18, 2028: 1.57}",0.608,0.541,1.189,快速增长,False,False,False,False,增速放缓; 现金流质量偏弱,31.7,0.608
6,002956,西麦食品,10.99,44.078619,26.939471,1.899,28.927636,18.111836,85.859428,20260331,18.18,2026-07-31,26.0,15.8,3.31,68.3,5.26,27.24,休闲食品,"{2026: 1.01, 2027: 1.27, 2028: 1.635}",0.899,0.761,0.954,快速增长,True,True,True,False,增速加速; 毛利率上升,72.9,0.899
7,002847,盐津铺子,36.82,31.818852,48.872257,1.457,16.949515,8.640677,29.483191,20260331,52.03,2026-07-31,17.55,1.3,6.48,24.1,4.61,11.29,休闲食品,"{2026: 3.79, 2027: 4.355, 2028: 4.689}",1.035,0.814,1.554,稳定增长,True,True,True,False,增速加速; 毛利率上升,84.3,1.035
8,601579,会稽山,6.6,61.602009,18.474118,0.889,24.696652,11.680616,27.958449,20260331,15.09,2026-07-31,26.71,32.8,1.86,70.0,1.99,18.25,非白酒,"{2026: 0.58, 2027: 0.71, 2028: 0.81}",1.082,1.001,1.464,快速增长,True,True,True,False,增速加速; 毛利率上升,64.6,1.082
9,002746,仙坛股份,5.26,8.733773,42.29106,1.345,17.886869,9.103969,38.021888,20260331,6.14,2026-07-31,20.22,37.1,1.13,9.7,7.33,2.34,养殖业,"{2026: 0.335, 2027: 0.36, 2028: 0.35}",1.13,0.802,8.641,稳定增长,True,True,True,False,增速加速; 毛利率上升,50.6,1.13
10,300146,汤臣倍健,7.18,69.147149,17.611184,0.13,19.808523,-8.378047,-11.622647,20260331,10.44,2026-07-31,24.22,36.9,1.53,1.9,7.76,-19.62,食品加工,"{2026: 0.85, 2027: 0.595, 2028: 0.54}",1.223,0.879,,稳定增长,False,True,False,False,增速放缓; 毛利率上升; 现金流质量偏弱,43.9,1.223
11,002626,金达威,7.85,37.975775,40.251195,1.801,-0.608064,3.867541,-46.105469,20260331,14.15,2026-07-31,30.41,61.8,1.96,1.2,5.65,21.27,食品加工,"{2026: 0.85, 2027: 1.025, 2028: 1.25}",,6.031,1.43,困境反转,False,False,True,False,增速放缓,40.5,1.43
12,003006,百亚股份,14.83,58.515217,32.75875,1.125,-27.70397,7.320385,10.02638,20260331,14.7,2026-07-31,28.57,22.3,4.01,9.0,2.72,15.84,个护用品,"{2026: 1.11, 2027: 1.388, 2028: 1.48}",,,1.804,困境反转,True,True,True,False,增速加速; 毛利率上升,69.3,1.804
13,002461,珠江啤酒,8.44,49.641838,30.622529,1.268,11.542962,2.556701,14.071583,20260331,9.01,2026-07-31,21.54,1.2,1.78,32.7,2.11,3.27,非白酒,"{2026: 0.47, 2027: 0.51, 2028: 0.5}",1.866,1.578,6.587,稳定增长,True,True,True,False,增速加速; 毛利率上升,64.8,1.866
14,001328,登康口腔,12.23,52.588794,25.025494,1.043,12.345586,9.984082,20.014535,20260331,31.7,2026-07-31,28.77,18.0,3.47,30.0,5.05,15.79,个护用品,"{2026: 1.41, 2027: 1.78, 2028: 1.875}",2.33,1.654,1.822,稳定增长,True,True,True,False,增速加速; 毛利率上升,66.8,2.33
15,600598,北大荒,14.9,64.268871,45.431154,9.595,7.263778,-2.052002,7.843762,20260331,12.35,2026-07-31,18.17,9.8,2.56,7.7,4.45,0.7,种植业,"{2026: 0.71, 2027: 0.715, 2028: 0.72}",2.501,1.551,25.957,缓慢增长,True,True,True,False,增速加速; 毛利率上升,76.7,2.501
16,603317,天味食品,12.92,45.03077,15.15177,1.01,-8.792982,-0.79364,234.670902,20260331,15.16,2026-07-31,21.61,5.0,3.39,33.3,7.26,8.24,调味发酵品Ⅱ,"{2026: 0.7, 2027: 0.75, 2028: 0.82}",,,2.623,负增长(排除),True,True,True,False,增速加速; 毛利率上升,61.4,2.623
17,600600,青岛啤酒,15.5,42.742989,37.629012,1.665,5.595355,1.044449,5.228611,20260331,56.0,2026-07-31,16.33,1.1,2.35,3.3,4.2,0.7,非白酒,"{2026: 3.85, 2027: 4.0, 2028: 3.9}",2.918,1.667,23.329,缓慢增长,False,True,True,False,增速放缓; 毛利率上升,61.1,2.918
18,603345,安井食品,9.61,24.987118,19.877122,1.853,-8.458476,7.046908,42.743835,20260331,89.89,2026-07-31,19.61,22.8,1.87,14.9,3.19,5.06,食品加工,"{2026: 6.03, 2027: 5.87, 2028: 6.62}",,,3.875,负增长(排除),True,True,True,False,增速加速; 毛利率上升,57.9,3.875
19,002507,涪陵榨菜,8.73,54.855305,6.965739,0.614,-3.917275,1.876593,0.072989,20260331,12.19,2026-07-31,18.31,7.1,1.56,2.1,6.89,0.0,调味发酵品Ⅱ,"{2026: 0.81, 2027: 0.81, 2028: 0.81}",,6.159,,负增长(排除),True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,55.2,6.159
20,000895,双汇发展,24.1,19.702609,47.484334,0.777,2.316311,-0.427916,13.589831,20260331,25.99,2026-07-31,17.12,36.3,3.97,12.9,8.46,1.91,食品加工,"{2026: 1.59, 2027: 1.665, 2028: 1.65}",7.391,1.589,8.963,缓慢增长,True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,61.6,7.391
21,001206,依依股份,9.79,16.817498,15.606615,1.463,-14.921701,-6.685823,-48.818416,20260331,15.76,2026-07-31,18.61,18.6,1.56,19.9,7.17,2.25,个护用品,"{2026: 1.57, 2027: 1.89, 2028: 1.59}",,,8.271,负增长(排除),False,False,True,False,增速放缓,34.9,8.271
22,002597,金禾实业,4.6,18.052086,25.853746,-0.287,-37.660871,-7.393423,-60.346766,20260331,21.02,2026-07-31,59.42,98.8,1.51,2.3,4.9,3.4,化学制品,"{2026: 1.86, 2027: 2.604, 2028: 1.74}",,,17.476,负增长(排除),False,False,False,False,增速放缓; 现金流质量偏弱,10.6,17.476
23,000848,承德露露,17.78,49.324498,31.650158,0.213,-5.874031,-3.45992,15.309218,20260331,9.0,2026-07-31,13.91,13.3,2.47,6.3,8.89,0.7,饮料乳品,"{2026: 0.745, 2027: 0.77, 2028: 0.755}",,4.612,19.871,负增长(排除),True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,57.1,19.871
24,600809,XD山西汾,33.48,75.046836,29.256859,1.533,0.028138,7.517885,-19.029852,20260331,127.24,2026-07-31,14.14,2.2,3.45,1.5,5.16,-6.06,白酒Ⅱ,"{2026: 12.99, 2027: 11.54, 2028: 11.43}",502.523,2.725,,缓慢增长,False,False,True,False,增速放缓,70.0,502.523
25,000568,泸州老窖,22.66,85.817777,21.813703,1.225,-19.611632,-17.518893,-19.254786,20260331,90.93,2026-07-31,13.46,10.0,2.59,1.8,6.54,-13.45,白酒Ⅱ,"{2026: 10.9, 2027: 9.85, 2028: 8.15}",,,,负增长(排除),True,False,True,False,增速加速,69.0,
26,000596,古井贡酒,14.28,77.845659,32.970852,1.189,-35.67252,-20.128763,-31.030852,20260331,94.95,2026-07-31,17.76,16.4,1.92,1.6,4.63,-18.72,白酒Ⅱ,"{2026: 13.665, 2027: 12.26, 2028: 8.93}",,,,负增长(排除),True,False,True,False,增速加速,60.1,
27,000858,五 粮 液,6.89,81.434385,34.313308,-0.314,-71.888962,-54.551804,82.567785,20260331,78.0,2026-07-31,24.03,45.4,2.37,1.1,10.68,-26.75,白酒Ⅱ,"{2026: 9.94, 2027: 8.9, 2028: 5.07}",,,,负增长(排除),True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,46.9,
28,002304,洋河股份,4.62,75.416194,18.169357,0.792,-66.942447,-33.471187,-32.733458,20260331,42.9,2026-07-31,63.64,98.6,1.31,1.1,3.43,-45.25,白酒Ⅱ,"{2026: 5.745, 2027: 3.04, 2028: 1.72}",,,,负增长(排除),True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,55.2,
29,002557,洽洽食品,5.71,25.09835,42.630659,0.249,-62.512848,-7.820039,117.819606,20260331,20.43,2026-07-31,25.24,54.4,1.89,1.2,9.79,-13.32,休闲食品,"{2026: 2.413, 2027: 1.645, 2028: 1.73}",,,,负增长(排除),True,False,False,False,增速加速; 现金流质量偏弱,27.4,
30,002991,甘源食品,12.08,33.914395,17.778666,1.903,-44.593247,-7.149888,25.725403,20260331,43.61,2026-07-31,18.31,19.2,2.28,2.3,7.74,-13.33,休闲食品,"{2026: 5.7, 2027: 4.726, 2028: 4.274}",,,,负增长(排除),True,False,True,False,增速加速,53.4,
