排名,code,name,roe,gross_margin,debt_ratio,cash_quality,g_profit_annual,g_revenue_annual,g_profit_q1,report_period,price,price_date,pe_ttm,pe_percentile,pb,pb_percentile,dividend_yield,g_forward,industry,eps_forecast,peg_base,peg_adjusted,peg_forward,lynch_category,accelerating,margin_up,cash_healthy,debt_warn,notes,quality_score,peg_rank_value,组合仓位,建议权重%
1,002772,众兴菌业,9.87,39.348857,52.908157,0.949,161.630071,8.429801,237.548664,20260331,10.24,2026-07-31,8.54,0.6,1.06,37.1,4.39,11.63,种植业,"{2026: 0.98, 2027: 1.06, 2028: 1.22}",0.053,0.051,0.734,快速增长,True,True,True,False,增速加速; 毛利率上升,65.6,0.053,核心仓,11.67
2,002299,圣农发展,12.59,13.665879,53.495503,0.202,90.545359,8.11875,71.407853,20260331,16.72,2026-07-31,13.99,20.9,1.81,11.2,4.19,24.44,养殖业,"{2026: 1.03, 2027: 1.21, 2028: 1.59}",0.155,0.148,0.572,快速增长,False,True,False,False,增速放缓; 毛利率上升; 现金流质量偏弱,39.8,0.155,核心仓,11.67
3,600887,伊利股份,20.87,38.374706,59.498365,0.692,36.819567,0.130896,10.67985,20260331,27.1,2026-07-31,14.18,5.6,2.88,5.2,9.59,7.95,饮料乳品,"{2026: 1.94, 2027: 2.06, 2028: 2.26}",0.385,0.306,1.784,快速增长,False,True,False,False,增速放缓; 毛利率上升; 现金流质量偏弱,62.1,0.385,核心仓,11.67
6,002956,西麦食品,10.99,44.078619,26.939471,1.899,28.927636,18.111836,85.859428,20260331,18.18,2026-07-31,26.0,15.8,3.31,68.3,5.26,27.24,休闲食品,"{2026: 1.01, 2027: 1.27, 2028: 1.635}",0.899,0.761,0.954,快速增长,True,True,True,False,增速加速; 毛利率上升,72.9,0.899,进攻仓,12.5
11,002626,金达威,7.85,37.975775,40.251195,1.801,-0.608064,3.867541,-46.105469,20260331,14.15,2026-07-31,30.41,61.8,1.96,1.2,5.65,21.27,食品加工,"{2026: 0.85, 2027: 1.025, 2028: 1.25}",,6.031,1.43,困境反转,False,False,True,False,增速放缓,40.5,1.43,进攻仓,12.5
4,600873,梅花生物,21.48,9.528723,36.780702,-9.799,19.721476,-3.432938,-88.42444,20260331,8.13,2026-07-31,9.58,28.2,1.39,1.8,5.27,4.27,化学制品,"{2026: 1.22, 2027: 1.36, 2028: 1.32}",0.486,0.383,2.244,稳定增长,False,False,False,False,增速放缓; 现金流质量偏弱,29.6,0.486,价值仓,10.0
24,600809,XD山西汾,33.48,75.046836,29.256859,1.533,0.028138,7.517885,-19.029852,20260331,127.24,2026-07-31,14.14,2.2,3.45,1.5,5.16,-6.06,白酒Ⅱ,"{2026: 12.99, 2027: 11.54, 2028: 11.43}",502.523,2.725,,缓慢增长,False,False,True,False,增速放缓,70.0,502.523,价值仓,10.0
7,002847,盐津铺子,36.82,31.818852,48.872257,1.457,16.949515,8.640677,29.483191,20260331,52.03,2026-07-31,17.55,1.3,6.48,24.1,4.61,11.29,休闲食品,"{2026: 3.79, 2027: 4.355, 2028: 4.689}",1.035,0.814,1.554,稳定增长,True,True,True,False,增速加速; 毛利率上升,84.3,1.035,质量仓,7.5
20,000895,双汇发展,24.1,19.702609,47.484334,0.777,2.316311,-0.427916,13.589831,20260331,25.99,2026-07-31,17.12,36.3,3.97,12.9,8.46,1.91,食品加工,"{2026: 1.59, 2027: 1.665, 2028: 1.65}",7.391,1.589,8.963,缓慢增长,True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,61.6,7.391,质量仓,7.5
10,300146,汤臣倍健,7.18,69.147149,17.611184,0.13,19.808523,-8.378047,-11.622647,20260331,10.44,2026-07-31,24.22,36.9,1.53,1.9,7.76,-19.62,食品加工,"{2026: 0.85, 2027: 0.595, 2028: 0.54}",1.223,0.879,,稳定增长,False,True,False,False,增速放缓; 毛利率上升; 现金流质量偏弱,43.9,1.223,防守仓,5.0
