排名,code,name,roe,gross_margin,debt_ratio,cash_quality,g_profit_annual,g_revenue_annual,g_profit_q1,report_period,price,price_date,pe_ttm,pe_percentile,pb,pb_percentile,dividend_yield,g_forward,industry,eps_forecast,peg_base,peg_adjusted,peg_forward,lynch_category,accelerating,margin_up,cash_healthy,debt_warn,notes,quality_score,peg_rank_value
1,002925,盈趣科技,12.03,28.628987,37.224823,1.717,129.427045,15.613597,21.680662,20260331,21.87,2026-07-31,28.43,63.7,3.27,44.9,2.42,20.43,消费电子,"{2026: 0.707, 2027: 0.796, 2028: 1.021}",0.22,0.216,1.392,快速增长,False,True,True,False,增速放缓; 毛利率上升,61.6,0.22
2,002236,大华股份,10.42,43.765401,24.675877,-1.154,32.769574,1.749021,6.807822,20260331,16.72,2026-07-31,14.01,17.9,1.42,6.8,3.32,4.29,计算机设备,"{2026: 1.143, 2027: 1.192}",0.428,0.388,3.266,快速增长,False,True,False,False,增速放缓; 毛利率上升; 现金流质量偏弱,43.2,0.428
3,688093,世华科技,17.52,56.431501,3.996648,1.314,42.643456,36.750371,-2.065402,20260331,26.04,2026-07-31,18.39,3.1,2.54,14.9,2.69,40.36,其他电子Ⅱ,"{2026: 1.66, 2027: 2.33}",0.431,0.406,0.456,快速增长,False,True,True,False,增速放缓; 毛利率上升,73.9,0.431
4,601138,工业富联,21.65,7.350507,61.382211,2.362,51.985045,48.224376,102.548513,20260331,56.7,2026-07-31,27.68,87.6,6.39,87.4,1.73,62.58,消费电子,"{2026: 1.89, 2027: 2.93, 2028: 4.985}",0.532,0.515,0.442,快速增长,True,True,True,True,增速加速; 毛利率上升; 高负债(>60%),64.1,0.532
5,300684,中石科技,16.2,33.999656,14.826891,2.535,68.119676,17.13726,4.942389,20260331,43.31,2026-07-31,37.97,43.6,5.81,57.5,1.71,44.92,电子化学品Ⅱ,"{2026: 1.18, 2027: 1.71}",0.557,0.544,0.845,快速增长,False,True,True,False,增速放缓; 毛利率上升,67.5,0.557
6,600183,生益科技,21.25,28.10132,44.031184,0.494,91.753196,39.448096,105.472358,20260331,105.64,2026-07-31,65.32,97.9,14.31,97.9,1.14,65.29,元件,"{2026: 1.615, 2027: 2.07, 2028: 4.19}",0.712,0.703,1.0,快速增长,True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,67.2,0.712
7,688550,瑞联新材,9.85,37.973244,9.612867,-0.021,22.865627,14.91446,-4.336028,20260331,35.84,2026-07-31,20.53,9.8,1.89,35.7,2.51,15.04,电子化学品Ⅱ,"{2026: 2.32, 2027: 2.65, 2028: 3.07}",0.898,0.809,1.365,快速增长,False,False,False,False,增速放缓; 现金流质量偏弱,28.2,0.898
8,301086,鸿富瀚,5.22,38.116206,56.816267,-14.748,-7.524628,11.281182,107.744676,20260331,92.7,2026-07-31,95.95,84.9,5.86,79.7,1.51,89.73,消费电子,"{2026: 4.11, 2027: 9.56, 2028: 14.04}",,,1.069,困境反转,True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,37.9,1.069
9,603380,易德龙,14.43,24.827671,33.030428,3.696,20.658987,5.947584,-26.916997,20260331,29.58,2026-07-31,22.5,26.0,2.94,21.0,2.03,30.47,消费电子,"{2026: 1.69, 2027: 2.205}",1.089,0.992,0.738,快速增长,False,False,True,False,增速放缓,47.9,1.089
10,002415,海康威视,17.3,49.967261,32.360304,0.409,18.518696,0.013266,36.419965,20260630,37.65,2026-07-31,21.0,17.6,4.09,23.3,3.05,17.02,计算机设备,"{2026: 1.94, 2027: 1.97, 2028: 2.61}",1.134,0.974,1.234,稳定增长,True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,64.0,1.134
11,300866,安克创新,26.1,43.640113,43.919339,-0.956,20.369671,23.489697,-4.874729,20260331,122.01,2026-07-31,28.38,63.7,6.41,65.0,3.2,20.6,消费电子,"{2026: 6.06, 2027: 7.55, 2028: 8.805}",1.393,1.204,1.378,快速增长,False,False,False,False,增速放缓; 现金流质量偏弱,45.7,1.393
12,002947,恒铭达,17.02,34.746802,25.20582,1.355,16.430681,14.94254,39.906929,20260331,52.51,2026-07-31,23.39,23.9,4.16,70.2,2.09,21.09,消费电子,"{2026: 3.165, 2027: 3.88, 2028: 4.64}",1.424,1.263,1.109,稳定增长,True,True,True,False,增速加速; 毛利率上升,70.8,1.424
13,300787,海能实业,5.75,17.095711,60.035014,8.474,23.471241,47.302427,-149.372631,20260331,8.49,2026-07-31,40.7,70.5,1.73,1.8,4.71,,消费电子,{},1.734,1.444,,快速增长,False,False,True,True,增速放缓; 高负债(>60%),27.3,1.734
14,600563,法拉电子,21.49,31.650667,28.166626,0.012,14.721402,11.635241,1.303349,20260331,136.88,2026-07-31,25.76,52.0,4.89,47.6,3.14,6.3,元件,"{2026: 7.38, 2027: 8.895, 2028: 8.19}",1.75,1.442,4.089,稳定增长,False,False,False,False,增速放缓; 现金流质量偏弱,35.9,1.75
15,002315,焦点科技,20.6,77.529029,38.92557,-0.542,11.611553,15.119194,-12.534445,20260331,26.89,2026-07-31,22.65,20.8,3.85,69.5,4.83,10.39,互联网电商,"{2026: 2.085, 2027: 2.45, 2028: 2.53}",1.951,1.378,2.18,稳定增长,False,False,False,False,增速放缓; 现金流质量偏弱,43.5,1.951
16,601231,环旭电子,9.98,9.458002,42.876756,1.445,12.16088,-2.464292,24.568862,20260331,21.97,2026-07-31,25.76,60.3,2.27,27.6,1.96,36.0,消费电子,"{2026: 1.1, 2027: 1.37, 2028: 2.02}",2.118,1.824,0.716,稳定增长,True,False,True,False,增速加速,45.4,2.118
17,002273,水晶光电,12.45,29.473651,24.613987,1.7,13.843987,10.366551,11.690963,20260331,25.29,2026-07-31,29.35,24.1,3.45,58.3,1.19,17.43,光学光电子,"{2026: 1.055, 2027: 1.31, 2028: 1.45}",2.12,1.952,1.684,稳定增长,False,False,True,False,增速放缓,45.7,2.12
18,002815,崇达技术,4.19,19.81753,25.134465,3.524,25.734869,20.17725,-71.867542,20260331,11.15,2026-07-31,57.06,90.9,1.55,11.2,1.17,-6.29,元件,"{2026: 0.715, 2027: 0.67}",2.217,2.121,,快速增长,False,False,True,False,增速放缓,37.2,2.217
19,002643,万润股份,4.02,35.94275,27.412643,1.523,15.511922,0.632733,9.955704,20260331,12.78,2026-07-31,40.03,81.3,1.64,13.1,0.98,6.34,电子化学品Ⅱ,"{2026: 0.54, 2027: 0.555, 2028: 0.61}",2.581,2.427,6.314,稳定增长,False,False,True,False,增速放缓,39.9,2.581
20,301280,珠城科技,11.33,24.291154,37.351566,-0.576,12.532461,9.727666,4.578373,20260331,36.15,2026-07-31,32.74,73.8,3.5,65.4,0.55,29.39,家电零部件Ⅱ,"{2026: 3.13, 2027: 4.05}",2.612,2.503,1.114,稳定增长,False,False,False,False,增速放缓; 现金流质量偏弱,22.6,2.612
21,300532,今天国际,13.2,20.65277,63.85511,-10.039,-14.936655,-0.291753,-25.970707,20260331,7.09,2026-07-31,20.77,23.3,2.44,4.7,7.05,7.67,IT服务Ⅱ,"{2026: 0.815, 2027: 0.94, 2028: 0.94}",,,2.708,负增长(排除),False,False,False,True,增速放缓; 现金流质量偏弱; 高负债(>60%),10.1,2.708
22,605058,澳弘电子,8.68,26.60935,46.25192,0.827,7.736734,4.254679,-9.615638,20260331,23.4,2026-07-31,22.46,39.3,1.84,24.3,2.14,14.62,元件,"{2026: 1.71, 2027: 1.96}",2.903,2.274,1.536,缓慢增长,False,True,True,False,增速放缓; 毛利率上升,40.5,2.903
23,002993,奥海科技,8.59,18.102284,52.670962,4.078,-9.13742,11.375331,-62.6031,20260331,34.36,2026-07-31,27.55,72.5,1.96,15.9,6.11,8.55,消费电子,"{2026: 2.92, 2027: 3.64, 2028: 3.365}",,,3.222,负增长(排除),False,False,True,False,增速放缓,34.6,3.222
24,600850,电科数字,6.8,17.300142,55.386906,-49.311,-40.277371,0.321929,-49.953234,20260331,15.71,2026-07-31,42.23,94.1,2.61,2.1,1.4,12.62,IT服务Ⅱ,"{2026: 1.03, 2027: 1.16}",,,3.346,困境反转,False,False,False,False,增速放缓; 现金流质量偏弱,12.6,3.346
25,688588,凌志软件,8.54,31.879024,28.977765,-2.708,-14.811981,-5.395666,-103.025429,20260331,9.5,2026-07-31,96.56,90.8,3.02,10.7,4.21,28.07,软件开发,"{2026: 0.481, 2027: 0.616}",,,3.44,困境反转,False,False,False,False,增速放缓; 现金流质量偏弱,19.2,3.44
