排名,code,name,roe,gross_margin,debt_ratio,cash_quality,g_profit_annual,g_revenue_annual,g_profit_q1,report_period,price,price_date,pe_ttm,pe_percentile,pb,pb_percentile,dividend_yield,g_forward,industry,eps_forecast,peg_base,peg_adjusted,peg_forward,lynch_category,accelerating,margin_up,cash_healthy,debt_warn,notes,quality_score,peg_rank_value,组合仓位,建议权重%
1,002925,盈趣科技,12.03,28.628987,37.224823,1.717,129.427045,15.613597,21.680662,20260331,21.87,2026-07-31,28.43,63.7,3.27,44.9,2.42,20.43,消费电子,"{2026: 0.707, 2027: 0.796, 2028: 1.021}",0.22,0.216,1.392,快速增长,False,True,True,False,增速放缓; 毛利率上升,61.6,0.22,核心仓,11.67
2,002236,大华股份,10.42,43.765401,24.675877,-1.154,32.769574,1.749021,6.807822,20260331,16.72,2026-07-31,14.01,17.9,1.42,6.8,3.32,4.29,计算机设备,"{2026: 1.143, 2027: 1.192}",0.428,0.388,3.266,快速增长,False,True,False,False,增速放缓; 毛利率上升; 现金流质量偏弱,43.2,0.428,核心仓,11.67
3,688093,世华科技,17.52,56.431501,3.996648,1.314,42.643456,36.750371,-2.065402,20260331,26.04,2026-07-31,18.39,3.1,2.54,14.9,2.69,40.36,其他电子Ⅱ,"{2026: 1.66, 2027: 2.33}",0.431,0.406,0.456,快速增长,False,True,True,False,增速放缓; 毛利率上升,73.9,0.431,核心仓,11.67
8,301086,鸿富瀚,5.22,38.116206,56.816267,-14.748,-7.524628,11.281182,107.744676,20260331,92.7,2026-07-31,95.95,84.9,5.86,79.7,1.51,89.73,消费电子,"{2026: 4.11, 2027: 9.56, 2028: 14.04}",,,1.069,困境反转,True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,37.9,1.069,进攻仓,12.5
6,600183,生益科技,21.25,28.10132,44.031184,0.494,91.753196,39.448096,105.472358,20260331,105.64,2026-07-31,65.32,97.9,14.31,97.9,1.14,65.29,元件,"{2026: 1.615, 2027: 2.07, 2028: 4.19}",0.712,0.703,1.0,快速增长,True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,67.2,0.712,进攻仓,12.5
7,688550,瑞联新材,9.85,37.973244,9.612867,-0.021,22.865627,14.91446,-4.336028,20260331,35.84,2026-07-31,20.53,9.8,1.89,35.7,2.51,15.04,电子化学品Ⅱ,"{2026: 2.32, 2027: 2.65, 2028: 3.07}",0.898,0.809,1.365,快速增长,False,False,False,False,增速放缓; 现金流质量偏弱,28.2,0.898,价值仓,10.0
10,002415,海康威视,17.3,49.967261,32.360304,0.409,18.518696,0.013266,36.419965,20260630,37.65,2026-07-31,21.0,17.6,4.09,23.3,3.05,17.02,计算机设备,"{2026: 1.94, 2027: 1.97, 2028: 2.61}",1.134,0.974,1.234,稳定增长,True,True,False,False,增速加速; 毛利率上升; 现金流质量偏弱,64.0,1.134,价值仓,10.0
11,300866,安克创新,26.1,43.640113,43.919339,-0.956,20.369671,23.489697,-4.874729,20260331,122.01,2026-07-31,28.38,63.7,6.41,65.0,3.2,20.6,消费电子,"{2026: 6.06, 2027: 7.55, 2028: 8.805}",1.393,1.204,1.378,快速增长,False,False,False,False,增速放缓; 现金流质量偏弱,45.7,1.393,质量仓,7.5
4,601138,工业富联,21.65,7.350507,61.382211,2.362,51.985045,48.224376,102.548513,20260331,56.7,2026-07-31,27.68,87.6,6.39,87.4,1.73,62.58,消费电子,"{2026: 1.89, 2027: 2.93, 2028: 4.985}",0.532,0.515,0.442,快速增长,True,True,True,True,增速加速; 毛利率上升; 高负债(>60%),64.1,0.532,质量仓,7.5
15,002315,焦点科技,20.6,77.529029,38.92557,-0.542,11.611553,15.119194,-12.534445,20260331,26.89,2026-07-31,22.65,20.8,3.85,69.5,4.83,10.39,互联网电商,"{2026: 2.085, 2027: 2.45, 2028: 2.53}",1.951,1.378,2.18,稳定增长,False,False,False,False,增速放缓; 现金流质量偏弱,43.5,1.951,防守仓,5.0
